#1
double inputsMeasured(34562, 7)
#time_in_s	nSpeedFanEva_1_0	TEva_degC	THCRet_K	nSpeedPumpCon_1_0	nSpeedPumpHC_1_0	nSpeedHP_0_1
0.0	1.0	11.472333333333333	25.99133296	1.0	0.0	0.0
10.0	1.0	11.265666666666666	25.94466536	1.0	0.0	0.0
20.0	1.0	11.11984375	25.9231243875	1.0	0.0	0.0
30.0	1.0	11.000357142857144	25.904285557142856	1.0	0.0	0.0
40.0	1.0	10.92654761904762	25.885237414285715	1.0	0.0	0.0
50.0	1.0	10.860833333333334	25.8699989	1.0	0.0	0.0
60.0	1.0	10.8275	25.8699989	1.0	0.0	0.0
70.0	1.0	10.79671853125	25.856874381249998	1.0	0.0	0.0
80.0	1.0	10.76722175	25.837222166666667	1.0	0.0	0.0
90.0	1.0	10.73944425	25.809443833333333	1.0	0.0	0.0
100.0	1.0	10.700714157142858	25.788570399999998	1.0	0.0	1.0
110.0	1.0	10.636428014285714	25.7838084	1.0	0.0	1.0
120.0	1.0	10.569705088235294	25.777646	1.0	0.0	1.0
130.0	1.0	10.493235029411764	25.765882	1.0	0.0	1.0
140.0	1.0	10.342499785714287	25.75642857142857	1.0	0.0	1.0
150.0	1.0	10.132624380000001	25.749	1.0	0.0	1.0
160.0	1.0	10.05887418	25.739	1.0	0.0	1.0
170.0	1.0	9.9869435	25.728333272222223	1.0	0.0	1.0
180.0	1.0	9.9313885	25.71166599444444	1.0	0.0	1.0
190.0	1.0	9.879999833333333	25.69833218333333	1.0	0.0	1.0
200.0	1.0	9.838332611111111	25.69277646111111	1.0	0.0	1.0
210.0	1.0	9.8081243125	25.6774990375	1.0	0.0	1.0
220.0	1.0	9.7893749375	25.652499912499998	1.0	0.0	1.0
230.0	1.0	9.78975	25.6455	1.0	0.0	1.0
240.0	1.0	9.792250000000001	25.6405	1.0	0.0	1.0
250.0	1.0	9.815000000000001	25.61999925	1.0	0.0	1.0
260.0	1.0	9.83734375	25.599998499999998	1.0	0.0	1.0
270.0	1.0	9.83578125	25.599998499999998	1.0	0.0	1.0
280.0	1.0	9.809264411764707	25.591175411764706	1.0	0.0	1.0
290.0	1.0	9.75779323529412	25.573529235294117	1.0	0.0	1.0
300.0	1.0	9.7054994	25.562	1.0	0.0	1.0
310.0	1.0	9.652999900000001	25.552	1.0	0.0	1.0
320.0	1.0	9.704038461538461	25.543845538461536	1.0	0.0	1.0
330.0	1.0	9.7625	25.5366656	1.0	0.0	1.0
340.0	1.0	9.8025	25.5299988	1.0	0.0	1.0
350.0	1.0	9.91083277777778	25.518888355555557	1.0	0.0	1.0
360.0	1.0	10.022235947368422	25.50578947368421	1.0	0.0	1.0
370.0	1.0	10.145920684210527	25.484736842105264	1.0	0.0	1.0
380.0	1.0	10.25985294117647	25.47	1.0	0.0	1.0
390.0	1.0	10.351029411764705	25.47	1.0	0.0	1.0
400.0	1.0	10.479642857142856	25.465714285714284	1.0	0.0	1.0
410.0	1.0	10.66175	25.457	1.0	0.0	0.0
420.0	1.0	10.958	25.442	1.0	0.0	0.0
430.0	1.0	11.252777777777778	25.425555555555555	1.0	0.0	0.0
440.0	1.0	11.541666666666666	25.403333333333332	1.0	0.0	0.0
450.0	1.0	11.801470470588235	25.38764705882353	1.0	0.0	0.0
460.0	1.0	12.017646647058823	25.381764705882354	1.0	0.0	0.0
470.0	1.0	12.1921664	25.38	1.0	0.0	0.0
480.0	1.0	12.345	25.375	1.0	0.0	0.0
490.0	1.0	12.4825	25.349999999999998	1.0	0.0	0.0
500.0	1.0	12.620146988235293	25.328823529411764	1.0	0.0	0.0
510.0	1.0	12.758381929411765	25.32294117647059	1.0	0.0	0.0
520.0	0.0	12.8798433375	25.316875	0.0	0.0	0.0
530.0	1.0	12.984531212499999	25.310624999999998	1.0	0.0	0.0
540.0	1.0	13.081447368421053	25.305263157894736	1.0	0.0	0.0
550.0	1.0	13.1775	25.3	1.0	0.0	0.0
560.0	1.0	13.288026315789473	25.278947368421054	1.0	0.0	0.0
570.0	1.0	13.397794117647058	25.26	1.0	0.0	0.0
580.0	1.0	13.500735294117646	25.26	1.0	0.0	0.0
590.0	1.0	13.592499786666666	25.257333333333335	1.0	0.0	0.0
600.0	1.0	13.667499253333334	25.250666666666667	1.0	0.0	0.0
610.0	1.0	13.713570714285714	25.232857142857142	1.0	0.0	0.0
620.0	1.0	13.756427952380953	25.213809523809523	1.0	0.0	0.0
630.0	1.0	13.790555222222222	25.205555066666665	1.0	0.0	0.0
640.0	1.0	13.8225	25.199998899999997	1.0	0.0	0.0
650.0	1.0	13.8475	25.199998899999997	1.0	0.0	0.0
660.0	1.0	13.903382070588234	25.18588164117647	1.0	0.0	0.0
670.0	1.0	13.979852188235295	25.16235287647059	1.0	0.0	0.0
680.0	1.0	14.001710105263157	25.16	1.0	0.0	0.0
690.0	1.0	14.0175	25.16	1.0	0.0	0.0
700.0	1.0	14.004264705882353	25.148235294117647	1.0	0.0	0.0
710.0	1.0	13.98519216923077	25.135384361538463	1.0	0.0	0.0
720.0	1.0	13.9524994	25.1199989	1.0	0.0	0.0
730.0	1.0	13.965734694117646	25.108234841176472	1.0	0.0	0.0
740.0	1.0	13.97462449	25.0985	1.0	0.0	0.0
750.0	1.0	13.97337479	25.0935	1.0	0.0	0.0
760.0	1.0	13.977083333333333	25.08833333333333	1.0	0.0	0.0
770.0	1.0	13.99236111111111	25.08277777777778	1.0	0.0	0.0
780.0	1.0	14.009375	25.070625	1.0	0.0	0.0
790.0	1.0	14.028125	25.051875	1.0	0.0	0.0
800.0	1.0	14.048	25.04549955	1.0	0.0	0.0
810.0	1.0	14.068	25.040499049999998	1.0	0.0	0.0
820.0	1.0	14.06407842631579	25.025788947368422	1.0	0.0	0.0
830.0	1.0	14.0574989	25.01	1.0	0.0	0.0
840.0	1.0	14.072499633333333	25.01	1.0	0.0	0.0
850.0	1.0	14.055735147058824	25.001176470588238	1.0	0.0	0.0
860.0	1.0	14.00720544117647	24.983529411764707	1.0	0.0	0.0
870.0	1.0	13.96849938	24.976	1.0	0.0	0.0
880.0	1.0	13.93224923	24.971	1.0	0.0	0.0
890.0	1.0	13.9049996	24.97	1.0	0.0	0.0
900.0	1.0	13.879615384615384	24.97	1.0	0.0	0.0
910.0	1.0	13.852692307692307	24.97	1.0	0.0	0.0
920.0	1.0	13.812941176470588	24.95411690588235	1.0	0.0	0.0
930.0	1.0	13.7715	24.937998739999998	1.0	0.0	0.0
940.0	1.0	13.729	24.92799944	1.0	0.0	0.0
950.0	1.0	13.679666666666668	24.916	1.0	0.0	0.0
960.0	1.0	13.603	24.896	1.0	0.0	0.0
970.0	1.0	13.55014705882353	24.89	1.0	0.0	0.0
980.0	1.0	13.5075	24.89	1.0	0.0	0.0
990.0	1.0	13.471973684210527	24.89	1.0	0.0	0.0
1000.0	1.0	13.435921010526314	24.88736842105263	1.0	0.0	0.0
1010.0	1.0	13.395131115789473	24.861052631578946	1.0	0.0	0.0
1020.0	1.0	13.35661694117647	24.84	1.0	0.0	0.0
1030.0	1.0	13.327205647058824	24.84	1.0	0.0	0.0
1040.0	1.0	13.305833333333334	24.836666666666666	1.0	0.0	0.0
1050.0	1.0	13.2925	24.83	1.0	0.0	0.0
1060.0	1.0	13.261547619047619	24.810951904761904	1.0	0.0	0.0
1070.0	1.0	13.230595238095237	24.79190380952381	1.0	0.0	0.0
1080.0	1.0	13.19	24.789998999999998	1.0	0.0	0.0
1090.0	1.0	13.153333333333332	24.78933232	1.0	0.0	0.0
1100.0	1.0	13.161666666666665	24.782665520000002	1.0	0.0	0.0
1110.0	1.0	13.147499999999999	24.773332533333335	1.0	0.0	0.0
1120.0	1.0	13.118333333333334	24.76222208888889	1.0	0.0	0.0
1130.0	1.0	13.106184210526317	24.751578947368422	1.0	0.0	0.0
1140.0	1.0	13.098289473684211	24.741052631578945	1.0	0.0	0.0
1150.0	1.0	13.10125	24.735	1.0	0.0	0.0
1160.0	1.0	13.104666626666667	24.728666666666665	1.0	0.0	0.0
1170.0	1.0	13.101332893333334	24.715333333333334	1.0	0.0	0.0
1180.0	1.0	13.078683578947368	24.703683768421055	1.0	0.0	0.0
1190.0	1.0	13.043157210526315	24.693156715789474	1.0	0.0	0.0
1200.0	1.0	13.014999261111111	24.682221366666667	1.0	0.0	0.0
1210.0	1.0	12.989999205555556	24.671111033333336	1.0	0.0	0.0
1220.0	1.0	12.95796811875	24.67	1.0	0.0	0.0
1230.0	1.0	12.924821035714286	24.665714285714287	1.0	0.0	0.0
1240.0	1.0	12.89089282142857	24.65142857142857	1.0	0.0	0.0
1250.0	1.0	12.867142857142857	24.637142385714284	1.0	0.0	0.0
1260.0	1.0	12.844523809523809	24.622856147619046	1.0	0.0	0.0
1270.0	1.0	12.821111111111112	24.6199989	1.0	0.0	0.0
1280.0	1.0	12.7975	24.6199989	1.0	0.0	0.0
1290.0	1.0	12.7525	24.6199989	1.0	0.0	0.0
1300.0	1.0	12.71515625	24.60749924375	1.0	0.0	0.0
1310.0	1.0	12.68546875	24.58249993125	1.0	0.0	0.0
1320.0	1.0	12.706125	24.589	1.0	0.0	0.0
1330.0	1.0	12.732375	24.599	1.0	0.0	0.0
1340.0	1.0	12.739999999999998	24.585	1.0	0.0	0.0
1350.0	1.0	12.744107142857143	24.568571428571428	1.0	0.0	0.0
1360.0	1.0	12.735178571428571	24.554285714285715	1.0	0.0	0.0
1370.0	1.0	12.728815789473684	24.55	1.0	0.0	0.0
1380.0	1.0	12.723552631578947	24.55	1.0	0.0	0.0
